batch_date,origin_area_code,origin,via_id,destination_area_code,destination,devices,customers,people,length,line
4/1/2021,1103,Colombo,293065139,6154,Kurunegala,154,154,354,2414.094784,"LINESTRING(79.9349636 6.9863343, 79.935086 6.9864768, 79.9353119 6.9866546, 79.9355354 6.9867616, 79.9361268 6.9869368, 79.936397 6.9870834, 79.9366862 6.9873701, 79.9370311 6.987775, 79.937302 6.9881691, 79.9377291 6.988956, 79.9379095 6.9892956, 79.9380255 6.9895257, 79.938127 6.9897508, 79.9382631 6.9900516, 79.9384882 6.9906572, 79.9385744 6.9907916, 79.9387418 6.9909541, 79.938904 6.9910521, 79.9391993 6.9911488, 79.9393969 6.9911606, 79.9398975 6.9910861, 79.9401869 6.9910798, 79.9404038 6.9911068, 79.9406202 6.9911677, 79.9412514 6.991475, 79.9414681 6.9916688, 79.9418074 6.992144, 79.9420006 6.9923059, 79.942093 6.9923637, 79.9428772 6.9927119, 79.9432728 6.9930233, 79.9434049 6.9931285, 79.9441134 6.993849, 79.9442697 6.993993, 79.9446158 6.9942485, 79.9450566 6.9945023, 79.9453645 6.9946853, 79.9454285 6.9947233, 79.9456241 6.994822, 79.9465469 6.9953694, 79.9468566 6.9956183, 79.9474837 6.9962707, 79.9476862 6.9965127, 79.9478394 6.9967501, 79.947962 6.9970596, 79.9481607 6.997758, 79.9481978 6.9979915, 79.9482076 6.9981439, 79.9481844 6.9983884, 79.9480833 6.9991754, 79.9480779 6.9994037, 79.9481821 6.9997478, 79.9482683 6.9999221, 79.9484567 7.0001989, 79.9485759 7.0003278, 79.948808 7.0005117, 79.9489517 7.0005888, 79.9490781 7.0006529)"
4/1/2021,1103,Colombo,832443349,6154,Kurunegala,156,156,361,4026.604672,"LINESTRING(80.0970024 7.1465373, 80.097924 7.1474355, 80.0986443 7.1481315, 80.0989877 7.148563, 80.0997627 7.1495367, 80.0999543 7.1497497, 80.1002181 7.1499843, 80.1010288 7.1506491, 80.1018415 7.1512639, 80.1025528 7.1517464, 80.1025812 7.1517657, 80.1032353 7.1522182, 80.1034259 7.1523305, 80.1037392 7.1524863, 80.1038724 7.1525284, 80.1047462 7.1527782, 80.1049768 7.1528953, 80.10639 7.1538085, 80.1066049 7.1539279, 80.106917 7.1540337, 80.1073927 7.1541638, 80.108157 7.1543727, 80.1083327 7.1544265, 80.1085192 7.1545095, 80.1087259 7.1546906, 80.1089008 7.1548781, 80.1091702 7.1552013, 80.1093341 7.1553616, 80.1095044 7.1554741, 80.1096208 7.1555133, 80.1097108 7.1555452, 80.1099374 7.1555769, 80.1103734 7.1555353, 80.1105531 7.155538, 80.110808 7.1555753, 80.1112398 7.155695, 80.1116931 7.1558041, 80.1120418 7.155868, 80.1125085 7.1559558, 80.1127204 7.1559984, 80.1128867 7.156041, 80.1133212 7.156206, 80.1150069 7.156895, 80.115067 7.1569196, 80.1154321 7.1570656, 80.1157335 7.1571294, 80.1159789 7.1571608, 80.116433 7.1572523, 80.1167702 7.1573492, 80.1172057 7.1574849, 80.1174904 7.1575834, 80.1179909 7.1577895, 80.1181521 7.1578762, 80.1182941 7.1579759, 80.1184764 7.1581328, 80.1185729 7.1582419, 80.1186802 7.1583936, 80.1187446 7.1585293, 80.1187983 7.1586837, 80.1188385 7.158862, 80.1188438 7.158995, 80.1188438 7.159192, 80.1188278 7.1594501, 80.1187875 7.1596577, 80.1187339 7.1599664, 80.1187178 7.1600968, 80.11875 7.1605146, 80.1188189 7.1608675, 80.1188814 7.1612678, 80.1189053 7.1613877, 80.1189753 7.1616297, 80.1190477 7.1618479, 80.1191599 7.1620762, 80.1192811 7.1622591, 80.1194139 7.1624424, 80.1196271 7.1627129, 80.1198121 7.1630003, 80.1198488 7.163072, 80.1200669 7.1634979, 80.1202011 7.1637309, 80.1202976 7.1638812, 80.1207187 7.1644906, 80.1209306 7.1648046, 80.121062 7.1650149, 80.1211469 7.1651429, 80.1212273 7.1652642, 80.1212525 7.1653023, 80.1213625 7.1654954, 80.1217353 7.1661353, 80.1219311 7.1664253, 80.1219721 7.1664793, 80.122039 7.166561, 80.1220672 7.1665965, 80.1221095 7.1666503, 80.1224407 7.1670401, 80.1225534 7.1671586, 80.1226047 7.1672086, 80.1226588 7.1672575, 80.1227652 7.1673275, 80.1228833 7.1673807, 80.1230734 7.167433, 80.1234633 7.1675345)"
4/1/2021,1103,Colombo,259451395,6154,Kurunegala,29,29,67,35.27268471,"LINESTRING(79.8820403 6.9402428, 79.882276 6.940457)"
4/1/2021,1103,Colombo,250353060,6154,Kurunegala,72,72,157,748.3843052,"LINESTRING(79.8939197 6.9711605, 79.8939864 6.9717967, 79.8940527 6.9724877, 79.8940968 6.9728359, 79.8941815 6.9732362, 79.894248 6.9734746, 79.8943083 6.9736909, 79.8943932 6.9739231, 79.8944729 6.9741129, 79.8945928 6.974381, 79.8947035 6.9745972, 79.8948642 6.9748645, 79.8950948 6.975184, 79.895325 6.9754439, 79.8956301 6.9757428, 79.8958705 6.9759514, 79.8960967 6.9761318, 79.8964613 6.9764017, 79.896987 6.9767792)"
4/1/2021,1103,Colombo,587533636,6154,Kurunegala,96,96,209,48.49878727,"LINESTRING(79.8901477 6.963987, 79.8904238 6.9643263)"
4/1/2021,1103,Colombo,98568339,6154,Kurunegala,43,43,94,28.32550348,"LINESTRING(80.1227859 7.3297938, 80.1226537 7.3300122)"
4/1/2021,1103,Colombo,259804744,6154,Kurunegala,72,72,157,486.1456584,"LINESTRING(79.8991507 6.9845942, 79.8991748 6.9848916, 79.8992045 6.9851496, 79.8992351 6.9853502, 79.8992685 6.9855466, 79.8993048 6.9857514, 79.8993552 6.9859773, 79.8994616 6.9863815, 79.8995201 6.9865943, 79.8995928 6.9868127, 79.8997469 6.9872306, 79.8998994 6.9875897, 79.9000869 6.9879434, 79.900295 6.9882683, 79.9005741 6.9886662)"
4/1/2021,1103,Colombo,382257560,6154,Kurunegala,224,225,507,2216.186294,"LINESTRING(80.3459485 7.4551119, 80.34604 7.4554503, 80.3461342 7.4559485, 80.3462149 7.4564943, 80.3462183 7.4569137, 80.3462047 7.4573442, 80.3461746 7.4577934, 80.3460912 7.4584278, 80.3461234 7.4587816, 80.3462466 7.4592107, 80.3463861 7.4598968, 80.3464007 7.4601863, 80.3464674 7.4610073, 80.3465479 7.4616563, 80.346753 7.4629352, 80.3470804 7.4641564, 80.3473807 7.4652341, 80.3476243 7.4663364, 80.3477609 7.4669345, 80.3478178 7.4674741, 80.3478227 7.467562, 80.3478349 7.4679431, 80.3478647 7.4688029, 80.3479398 7.4691326, 80.3480836 7.4693771, 80.3487814 7.4703009, 80.3495687 7.4714266, 80.3499045 7.4719281, 80.3501869 7.4722622, 80.3505838 7.4726141, 80.3508747 7.472801, 80.3510506 7.4728792, 80.3516225 7.473061, 80.3517971 7.4731147)"
4/1/2021,1103,Colombo,404514068,6154,Kurunegala,58,58,137,56.3800353,"LINESTRING(80.3740624 7.4782978, 80.3740396 7.4782848, 80.374014 7.4782798, 80.373988 7.478283, 80.3739643 7.4782943, 80.3739444 7.4783136, 80.3739323 7.4783385, 80.3739294 7.478366, 80.3739359 7.4783928, 80.3739509 7.4784158, 80.3739728 7.4784324, 80.3739989 7.478441, 80.3740265 7.4784404, 80.3740522 7.4784308, 80.3740724 7.4784143, 80.3740863 7.4783922, 80.3740926 7.478367, 80.3740902 7.478341, 80.3740799 7.4783172, 80.3740624 7.4782978)"
4/1/2021,1103,Colombo,302206240,6154,Kurunegala,54,54,124,2238.999494,"LINESTRING(80.3761461 7.4772374, 80.3765945 7.4773535, 80.3768857 7.4773709, 80.3770113 7.4773808, 80.3771393 7.4774, 80.3772548 7.4774283, 80.3774372 7.4774869, 80.3776278 7.477572, 80.3777486 7.4776361, 80.3778915 7.4777199, 80.3780101 7.477798, 80.3781287 7.4778795, 80.37829 7.4780089, 80.378442 7.4781375, 80.3786022 7.4782963, 80.3788168 7.4785544, 80.3790207 7.4788097, 80.3792245 7.479166, 80.3792615 7.4792584, 80.3793632 7.4794937, 80.379444 7.4797109, 80.3795092 7.4799311, 80.379533 7.4800303, 80.3795605 7.4802617, 80.3795786 7.4805256, 80.3795889 7.4807837, 80.3795689 7.4810163, 80.3795253 7.481297, 80.3794541 7.4816167, 80.3793642 7.4819573, 80.3792846 7.4823018, 80.3792016 7.4826455, 80.3791598 7.4829063, 80.3791415 7.4830587, 80.3791269 7.4832549, 80.3791059 7.4835002, 80.3791018 7.4836997, 80.3790953 7.4838419, 80.379095 7.4839643, 80.3790997 7.4841274, 80.3791355 7.484727, 80.3791398 7.4852315, 80.3791657 7.4857029, 80.3791772 7.4860389, 80.3791826 7.4864184, 80.3791938 7.4870052, 80.379203 7.4873809, 80.3792028 7.4875201, 80.3792007 7.4876406, 80.3791989 7.4877551, 80.3791917 7.487851, 80.379163 7.4880563, 80.3791344 7.4882391, 80.3790948 7.488457, 80.3790726 7.4885791, 80.3790315 7.4887297, 80.3789579 7.4889835, 80.3788854 7.48923, 80.3788251 7.4894436, 80.3787899 7.4896361, 80.3787593 7.4898147, 80.3787255 7.4900625, 80.3787142 7.4902866, 80.3787083 7.4904757, 80.3786998 7.4908082, 80.3787042 7.4909433, 80.3787163 7.4910695, 80.3787265 7.4911728, 80.3787506 7.4913619, 80.378774 7.4915367, 80.3787938 7.4916634, 80.3788242 7.4918006, 80.3788522 7.4919014, 80.3788837 7.4920057, 80.3789432 7.4922144, 80.3790671 7.492708, 80.3791705 7.493119, 80.3791996 7.4932529, 80.3792076 7.4933243, 80.3792122 7.4934307, 80.3792337 7.4938706, 80.3792358 7.4940445, 80.3792518 7.4942716, 80.3792497 7.4945703, 80.3792372 7.4946785, 80.3792211 7.4948219, 80.3792005 7.4949427, 80.3791693 7.4950213, 80.3791344 7.4950762, 80.3790925 7.4951381, 80.3790192 7.4952267)"
